idx,from_airport_id,to_airport_id,aircraft_id
810,KWE,HGH,320
811,KWE,JJN,320
812,KWE,KMG,320
813,KWE,LHW,321
814,KWE,SYX,321
815,KWE,WNZ,320
816,KWE,XUZ,321
817,KWL,INC,320
818,KWL,SJW,321
819,KWL,SYX,320
820,LHW,CKG,319
821,LHW,CTU,319
822,LHW,DNH,319
823,LHW,JGN,319
824,LHW,KWE,321
825,LHW,TSN,321
826,LJG,CKG,319
827,LJG,CTU,319
828,LJG,MIG,319
829,LUM,CTU,319
830,LUM,KMG,319
831,LXA,CKG,319
832,LXA,CTU,330
833,LXA,GXH,319
834,LXA,XIY,319
835,LXA,XNN,319
836,LYI,XIY,319
837,LZY,CTU,319
838,MEL,CTU,330
839,MIG,LJG,319
840,MIG,NKG,319
841,MIG,SYX,320
842,MIG,XNN,320
843,NGB,CKG,319
844,NGB,HAK,321
845,NGB,HRB,321
846,NGB,KHN,321
847,NGB,KMG,320
848,NGB,SHE,321
849,NGB,SYX,321
850,NKG,CGQ,320
851,NKG,CKG,319
852,NKG,CTU,319
853,NKG,DYG,319
854,NKG,HRB,319
855,NKG,KMG,320
856,NKG,MIG,319
857,NKG,SYX,320
858,NNG,CKG,319
859,NNG,CTU,319
860,NNG,SGN,320
861,NNG,WUH,321
862,NTG,WUH,319
863,NZH,HRB,321
864,PEK,CKG,319
865,PEK,CTU,321
866,PEK,WXN,320
867,PEK,ZHY,320
868,PVG,CKG,320
869,PVG,CTU,330
870,PVG,SPN,330
871,PZI,CKG,319
872,PZI,CTU,319
873,SGN,NNG,320
874,SHE,CSX,320
875,SHE,CTU,330
876,SHE,DSN,319
877,SHE,NGB,321
878,SHE,TYN,321
879,SHE,XUZ,320
880,SHE,YVR,330
881,SJW,CTU,320
882,SJW,HRB,321
883,SJW,KWL,321
884,SPN,CAN,330
885,SPN,PVG,330
886,SWA,CKG,319
887,SYD,CKG,330
888,SYX,CKG,320
889,SYX,CTU,321
890,SYX,KWE,321
891,SYX,KWL,320
892,SYX,MIG,320
893,SYX,NGB,321
894,SYX,NKG,320
895,SYX,TNA,321
896,SYX,WNZ,321
897,SYX,YBP,319
898,SZX,CKG,320
899,SZX,CTU,320
900,SZX,WXN,319
901,TAO,CTU,321
902,TAO,KMG,320
903,TNA,CGQ,321
904,TNA,CKG,321
905,TNA,CTU,321
906,TNA,DLC,321
907,TNA,HRB,320
908,TNA,KMG,320
909,TNA,SYX,321
910,TNA,XIY,320
911,TPE,KMG,320
912,TSA,CKG,320
913,TSA,CTU,320
914,TSN,CGQ,320
915,TSN,CKG,319
916,TSN,CTU,321
917,TSN,HGH,320
918,TSN,HRB,321
919,TSN,LHW,321
920,TVS,TYN,319
921,TYN,CKG,321
922,TYN,CTU,319
923,TYN,DAT,319
